inventor,inventorLabel,genderLabel,countryLabel
http://www.wikidata.org/entity/Q79129,Franz von Uchatius,masculin,Autriche
http://www.wikidata.org/entity/Q121838,Joseph Aspdin,masculin,royaume de Grande-Bretagne
http://www.wikidata.org/entity/Q104745,Hugo Erfurt,masculin,Allemagne
http://www.wikidata.org/entity/Q113086,Christian Reithmann,masculin,Autriche
http://www.wikidata.org/entity/Q121838,Joseph Aspdin,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande
http://www.wikidata.org/entity/Q113057,Ferdinand Mannlicher,masculin,Autriche-Hongrie
http://www.wikidata.org/entity/Q116307,Heinrich von Wild,masculin,Suisse
http://www.wikidata.org/entity/Q113765,Wilhelm Lefeldt,masculin,Empire allemand
http://www.wikidata.org/entity/Q110769,Justus Claproth,masculin,Allemagne
http://www.wikidata.org/entity/Q110974,James Whyte Black,masculin,Royaume-Uni
http://www.wikidata.org/entity/Q124361,John Froelich,masculin,États-Unis
http://www.wikidata.org/entity/Q106031,Majid Samii,masculin,Iran
http://www.wikidata.org/entity/Q106031,Majid Samii,masculin,Allemagne
http://www.wikidata.org/entity/Q124068,François Isaac de Rivaz,masculin,France
http://www.wikidata.org/entity/Q124068,François Isaac de Rivaz,masculin,Suisse
http://www.wikidata.org/entity/Q124963,Jean Maritz,masculin,Suisse
http://www.wikidata.org/entity/Q123679,Abraham Breguet,masculin,Principauté de Neuchâtel
http://www.wikidata.org/entity/Q112193,Gaston Glock,masculin,Autriche
http://www.wikidata.org/entity/Q109783,Heinrich Koppers,masculin,Reich allemand
http://www.wikidata.org/entity/Q105510,Melchior Bauer,masculin,Allemagne
http://www.wikidata.org/entity/Q106494,Konstantin Novoselov,masculin,Royaume-Uni
http://www.wikidata.org/entity/Q106494,Konstantin Novoselov,masculin,Union soviétique
http://www.wikidata.org/entity/Q106494,Konstantin Novoselov,masculin,Russie
http://www.wikidata.org/entity/Q109652,Friedrich August Köttig,masculin,Allemagne
